wrong_errortype,correct_errortype,wrong_sentence,correct_sentence
MA,MD,"Heathcliff used to play with Catherine. They were good friends but Heanly, Catherine's brother, hated Heathcliff. Heanley couldn't accept the good relationship and love between Catherine and Heathcliff and, for that reason, he sent Heathcliff to work on the farm. In the meantime Catherine met Edgar Linton and in the end she married Edgar because of | money and good education. ","Heathcliff used to play with Catherine. They were good friends but Heanly, Catherine's brother, hated Heathcliff. Heanley couldn't accept the good relationship and love between Catherine and Heathcliff and, for that reason, he sent Heathcliff to work on the farm. In the meantime Catherine met Edgar Linton and in the end she married Edgar because of | he money and good education. "
DJ,FV,"At home it is the other way round. Fortunately, rules are made by every member of the family so that no one complains about them. I must admit that I am able to do whatever I want, such as | inviting friends over, watch TV until midnight and so on. In fact, the only strong rule is to help out with the household chores and meals. That is all! ","At home it is the other way round. Fortunately, rules are made by every member of the family so that no one complains about them. I must admit that I am able to do whatever I want, such as | invite friends over, watch TV until midnight and so on. In fact, the only strong rule is to help out with the household chores and meals. That is all! "
W,X,"And finally when the show ended I decided to go and eat something, but the restaurant was closed because the chef was sick. Sorry, but | all these stuff are not professional, and I am going to make a demand exactly because you don't have that , if you don't give me my money back. ","And finally when the show ended I decided to go and eat something, but the restaurant was closed because the chef was sick. Sorry, but | none of this is professional, and I am going to make a demand exactly because you don't have that , if you don't give me my money back. "
RP,RQ,"I am in doubt as to | which kind of clothes I have to bring with me. And may I also ask you , how much money I have to take with me. ","I am in doubt as to | what kind of clothes I have to bring with me. And may I also ask you , how much money I have to take with me. "
IV,TV,"I think nobody has forgotten , where the curiosity of the journalists leads. For example, there was the hunting of Princess Diana and her friend. I hope that they will be punished for what they | done! ","I think nobody has forgotten , where the curiosity of the journalists leads. For example, there was the hunting of Princess Diana and her friend. I hope that they will be punished for what they | did! "
FV,DV,"This show was very disappointing for me for many reasons : . First of all, I was very surprised by the absence of the famous actor, Danny Brook, who was one of my reasons for booking a seat. Also, I'm unhappy about the inaccurate information in your advertisement, which clearly says , the play begins at 19.30, instead of 20.15 like my evening's show. At the end of show, unfortunately for me and the other spectators, the worst thing happened: the theatre's restaurant was closed without any reasons being given and nobody came to us to apologise or | advice us about another restaurant open late at night. ","This show was very disappointing for me for many reasons : . First of all, I was very surprised by the absence of the famous actor, Danny Brook, who was one of my reasons for booking a seat. Also, I'm unhappy about the inaccurate information in your advertisement, which clearly says , the play begins at 19.30, instead of 20.15 like my evening's show. At the end of show, unfortunately for me and the other spectators, the worst thing happened: the theatre's restaurant was closed without any reasons being given and nobody came to us to apologise or | advise us about another restaurant open late at night. "
RP,UP,"But the question is: | Why is shopping not always enjoyable? . For many people, shopping has always been only for one kind of elite, or social class; not all people can go shopping and buy hundreds and thousands of things in those big malls as a distraction. Let's talk about women; nightmare! Women can't resist the temptation of shopping and they are disappointed when they don't have the desire to shop. ","But the question is: | why is shopping not always enjoyable? . For many people, shopping has always been only for one kind of elite, or social class; not all people can go shopping and buy hundreds and thousands of things in those big malls as a distraction. Let's talk about women; nightmare! Women can't resist the temptation of shopping and they are disappointed when they don't have the desire to shop. "
MD,MQ,"I would like to ask you for money and clothes because my parents are travelling and it is impossible for me to get | money because my sister doesn't want me to go because I'm only 14, but when I get there I promise to return to you all the money because I don't have | cash at the moment. ","I would like to ask you for money and clothes because my parents are travelling and it is impossible for me to get | any money because my sister doesn't want me to go because I'm only 14, but when I get there I promise to return to you all the money because I don't have | any cash at the moment. "
TV,IV,"Dear Sir or Madam, After I had read your advertisement I went to ""the Circle Theatre"" looking forward to watching your musical ""Over the rainbow"". In the end I was very disappointed. Firstly, the show did not start on time but fourty-five forty-five minutes late. This made me a little bit angry because I already had trouble buying a ticket earlier: although it was proclaimed in the advertisement, there were no £15 and £10 discounts available. But I did not mind anymore because I knew that a show with Danny Brook would be worth this. That was why I was really shocked to see that there was another actor playing his role. This actor was not nearly as brilliant as Danny Brook and I would not have | paied so much money if I had known this before. At the end of the musical I decided to ""rescue"" this evening by visiting your theatre restaurant. Like everything else that had gone wrong that evening, the restaurant was closed because the cook had fallen ill! I hope you can see that this was no ""perfect evening"" and I was very disappointed, mostly because this was the last night of our stay in London. I am convinced I have the right to some money back from you because none of your promises was carried out. Yours faithfully Gabe Grumman (Mrs) ","Dear Sir or Madam, After I had read your advertisement I went to ""the Circle Theatre"" looking forward to watching your musical ""Over the rainbow"". In the end I was very disappointed. Firstly, the show did not start on time but fourty-five forty-five minutes late. This made me a little bit angry because I already had trouble buying a ticket earlier: although it was proclaimed in the advertisement, there were no £15 and £10 discounts available. But I did not mind anymore because I knew that a show with Danny Brook would be worth this. That was why I was really shocked to see that there was another actor playing his role. This actor was not nearly as brilliant as Danny Brook and I would not have | paid so much money if I had known this before. At the end of the musical I decided to ""rescue"" this evening by visiting your theatre restaurant. Like everything else that had gone wrong that evening, the restaurant was closed because the cook had fallen ill! I hope you can see that this was no ""perfect evening"" and I was very disappointed, mostly because this was the last night of our stay in London. I am convinced I have the right to some money back from you because none of your promises was carried out. Yours faithfully Gabe Grumman (Mrs) "
MT,M,"Actually, I would like to go to Camp California next July because I have got two weeks' holiday then. I also will be pleased to stay in a log cabin. My experience of camping is not so huge | to stay in a tent for 2 weeks. ","Actually, I would like to go to Camp California next July because I have got two weeks' holiday then. I also will be pleased to stay in a log cabin. My experience of camping is not so huge | as to encourage me to stay in a tent for 2 weeks. "
AGN,FN,"Regarding electrical goods, there will not be any kind of electrical product except | computer. People will do everything on the computer, including watching TV, listening to music, and chatting with people . As , as the computer is a multi-functional product. ","Regarding electrical goods, there will not be any kind of electrical product except | computers. People will do everything on the computer, including watching TV, listening to music, and chatting with people . As , as the computer is a multi-functional product. "
RA,DN,"First of all, I was attracted by the actors - Danny Brooks and Tina Truelove - and not by the actors who performed effectively that evening. These actors appeared fourty-five forty-five minutes late according to what is written in your advertisement. This | late prevented me from going to dinner in your restaurant because it was just closing! ","First of all, I was attracted by the actors - Danny Brooks and Tina Truelove - and not by the actors who performed effectively that evening. These actors appeared fourty-five forty-five minutes late according to what is written in your advertisement. This | lateness prevented me from going to dinner in your restaurant because it was just closing! "
W,X,"The clothes will be more comfortable but less decorative. People will put on fitted suits such as diving suits . or perhaps | nothing to wear. For instance, people will not care about what other people see. Or maybe we will not need to see each other any more. ","The clothes will be more comfortable but less decorative. People will put on fitted suits such as diving suits . or perhaps | wear nothing. For instance, people will not care about what other people see. Or maybe we will not need to see each other any more. "
TV,FV,"I have received your letter about the competition 'two weeks at Camp California' - I am very glad to know that I | to have won the first prize! In the following you can find, I hope, all the information you need to complete the enrolment procedure. I would like to travel only in July because, as you already know, at the moment I am following a doctoral course at Cornell University: the school is closed in July and so, in that period, I am available for the camp. If possible, the type of accommodation I prefer is a tent. There are two main reasons for this choice: I am very keen on camping in high mountains and hills and I am very skilled in all the related activities: putting up the tent, cooking on camp and so on. Furthermore I have several personal objects that play a fundamental role in the daily life of the camp (the tent, the sleeping bag and so on.). Among the proposed activities, I prefer swimming and singing. Indeed, I like water sports and I am quite a good guitarist and singer - . Some questions: what is the average temperature at the camp in July? What are the best clothes to wear at the camp? How much money will I need at the camp? ","I have received your letter about the competition 'two weeks at Camp California' - I am very glad to know that I | have won the first prize! In the following you can find, I hope, all the information you need to complete the enrolment procedure. I would like to travel only in July because, as you already know, at the moment I am following a doctoral course at Cornell University: the school is closed in July and so, in that period, I am available for the camp. If possible, the type of accommodation I prefer is a tent. There are two main reasons for this choice: I am very keen on camping in high mountains and hills and I am very skilled in all the related activities: putting up the tent, cooking on camp and so on. Furthermore I have several personal objects that play a fundamental role in the daily life of the camp (the tent, the sleeping bag and so on.). Among the proposed activities, I prefer swimming and singing. Indeed, I like water sports and I am quite a good guitarist and singer - . Some questions: what is the average temperature at the camp in July? What are the best clothes to wear at the camp? How much money will I need at the camp? "
RA,RP,"We have all been shopping once in our lives and sometimes it probably has not been very enjoyable, why? | we had a class discussion and we all agree on some points. ","We have all been shopping once in our lives and sometimes it probably has not been very enjoyable, why? | We had a class discussion and we all agree on some points. "
IN,RP,"We went to a few | Exhibitions, nightclubs, and restaurants around the area and we really had fun. ","We went to a few | exhibitions, nightclubs, and restaurants around the area and we really had fun. "
RD,RQ,I had a lot of things to do during the concert. I had to look after the tone that nothing goes wrong . That was very demanding but fortunately I had help from | other person. ,I had a lot of things to do during the concert. I had to look after the tone that nothing goes wrong . That was very demanding but fortunately I had help from | another person. 
MP,RP,I know I have already asked a lot but there is one more thing I need to know | which kind of clothes will be appropriate and how much money will I need approximately? ,I know I have already asked a lot but there is one more thing I need to know | . Which kind of clothes will be appropriate and how much money will I need approximately? 
RP,M,"| Windsurfing because I do have done it for a long time. You can do it alone. I like windsurfing because it is a sport of speed and slide like skiing , and surfing. You need techniques to control the surfboard. You must know how to use the wind and you have great sensations ! ","| Windsurfing because I do have done it for a long time. You can do it alone. I like windsurfing because it is a sport of speed and slide like skiing , and surfing. You need techniques to control the surfboard. You must know how to use the wind and you have great sensations ! "
FN,AGN,"| Fashion are always changing therefore it is really difficult to say what sort of clothes people will wear in the future. But when I hear the word future, I have an image of metallic colours so that in my imagination they are wearing metallic or brightly coloured clothes. Maybe they will have more colours than now. ","| Fashions are always changing therefore it is really difficult to say what sort of clothes people will wear in the future. But when I hear the word future, I have an image of metallic colours so that in my imagination they are wearing metallic or brightly coloured clothes. Maybe they will have more colours than now. "
AGN,IN,Are you keen on music and love going to discos? With a short training you'll be able to mix songs at parties. You won't dance but the | earning are guaranteed! ,Are you keen on music and love going to discos? With a short training you'll be able to mix songs at parties. You won't dance but the | earnings are guaranteed! 
M,RP,"That is why I propose to start our film with the beginning of the day, when all the students come into the classroom. Then, we should film the English class so as to show who made the film. Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the | MathClass ","That is why I propose to start our film with the beginning of the day, when all the students come into the classroom. Then, we should film the English class so as to show who made the film. Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the | maths class. "
AGN,FN,"First of all, your article mentions that the course had to be cancelled , because the teacher was ill, but the course was cancelled only on the last afternoon. Secondly, you mention that nobody registered for the local history course. I would like to inform you that 32 attended this course. Thirdly, as far as the painting and photography courses are concerned, it is true what you say, they were very popular. I think that the reason for these courses being so popular is that people are very interested in these | kind of activities. Apart from this, the teachers were very experienced and the equipment was particularly contemporary . ","First of all, your article mentions that the course had to be cancelled , because the teacher was ill, but the course was cancelled only on the last afternoon. Secondly, you mention that nobody registered for the local history course. I would like to inform you that 32 attended this course. Thirdly, as far as the painting and photography courses are concerned, it is true what you say, they were very popular. I think that the reason for these courses being so popular is that people are very interested in these | kinds of activities. Apart from this, the teachers were very experienced and the equipment was particularly contemporary . "
DY,DJ,"What is it that we use every day for many hours? Sometimes from early in the morning until late in the evening. Yes, it is the TV. It is | well know in almost all families, often with a lot of different channels. ","What is it that we use every day for many hours? Sometimes from early in the morning until late in the evening. Yes, it is the TV. It is | well known in almost all families, often with a lot of different channels. "
AGN,FN,"Well, it was quite fun while I was helping them to do the stuff before the concert was gonna start started . I had to get everything that they needed up the | stair. It was so tiring. Then after that I had to help them carry all the clothes for the singer to wear from the bus down into the staff room. I saw Westlife too. You know they are so cute. Then I could take a rest for about 30 mins. After that I had to go into the staff room again because they wanted me to go and buy some drink for the singer. After I came back I had to help them clean all the make-up stuff. The concert began... That meant I could take a rest until the concert finished. After the concert had finished I had to help them again to clean all the stuff . , I had to carry everything that I could carry back to the bus. We were so tired but it was good fun. I think this experience was quite interesting. If somebody asked me to go and help again I would like to go for sure. ","Well, it was quite fun while I was helping them to do the stuff before the concert was gonna start started . I had to get everything that they needed up the | stairs. It was so tiring. Then after that I had to help them carry all the clothes for the singer to wear from the bus down into the staff room. I saw Westlife too. You know they are so cute. Then I could take a rest for about 30 mins. After that I had to go into the staff room again because they wanted me to go and buy some drink for the singer. After I came back I had to help them clean all the make-up stuff. The concert began... That meant I could take a rest until the concert finished. After the concert had finished I had to help them again to clean all the stuff . , I had to carry everything that I could carry back to the bus. We were so tired but it was good fun. I think this experience was quite interesting. If somebody asked me to go and help again I would like to go for sure. "
UD,UQ,"And to finish, the restaurant was closed, for | any reasons you didn't tell us. So I couldn't eat that evening. ","And to finish, the restaurant was closed, for | reasons you didn't tell us. So I couldn't eat that evening. "
UA,UN,"I think , I could have a holiday only in July because I will have been working for my company for one year by the end of the June and I will have a one-month holiday | period from my company. I would prefer to stay in a tent than stay in the log cabin because a tent is more enjoyable. ","I think , I could have a holiday only in July because I will have been working for my company for one year by the end of the June and I will have a one-month holiday | from my company. I would prefer to stay in a tent than stay in the log cabin because a tent is more enjoyable. "
M,MT,"Of course when you're in class you have to behave yourself , and be polite with the teacher and the other schoolchildren. During the break , usually some teachers stay out and keep an eye on you. I think nowadays, children are more free and heard , . I mean | the contact between them and adults. Usually they know what they're allowed to do or not and if they don't respect it, the teacher not only punishes them (though not always) but also speaks with them. ","Of course when you're in class you have to behave yourself , and be polite with the teacher and the other schoolchildren. During the break , usually some teachers stay out and keep an eye on you. I think nowadays, children are more free and heard , . I mean | as regards the contact between them and adults. Usually they know what they're allowed to do or not and if they don't respect it, the teacher not only punishes them (though not always) but also speaks with them. "
RA,TV,"I'd like to play golf and tennis , . I play have played both since I was young, and I like them, but I don't have enough time to play, and my level isn't as good as | I'll like. ","I'd like to play golf and tennis , . I play have played both since I was young, and I like them, but I don't have enough time to play, and my level isn't as good as | I'd like. "
TV,MY,"What's happened? This is the good theatre do, or not? This is a famous theatre. You know, What did people feel? Everybody attented go to the show, funny, and happy in the end, and what have we go then? Disappointed! Think about that. If you could not manage the programme, why | did you inform people before the programme started? ","What's happened? This is the good theatre do, or not? This is a famous theatre. You know, What did people feel? Everybody attented go to the show, funny, and happy in the end, and what have we go then? Disappointed! Think about that. If you could not manage the programme, why | didn't you inform people before the programme started? "
MD,MQ,. if I have to take | special equipment for the activities that I've chosen ,. if I have to take | any special equipment for the activities that I've chosen 
DJ,IJ,"How interesting it is to imagine what kind of clothes people will wear in about a hundred years from now. Fashion is changing so quickly that all our dreams about clothes can come true. But let's see my point of view. In a hundred years, the clothes will certainly be totally | differents from ours. Materials, textures and colours change, and our minds too. ","How interesting it is to imagine what kind of clothes people will wear in about a hundred years from now. Fashion is changing so quickly that all our dreams about clothes can come true. But let's see my point of view. In a hundred years, the clothes will certainly be totally | different from ours. Materials, textures and colours change, and our minds too. "
W,RP,"By using the Internet we can make new pen friends overseas, and create clubs , and societies. Now a message can travel quicker and it is also worldwide . sending letters takes about a week to | HongKong from the U.K., but network , eg. e.g. E-mail . , is much faster. require Require the time The time required is only a few minutes. Now we can even create a club on Yahoo, which is free. Modern technology saves us a lot of time and brings us many benefits when we use it in the right way, but some bad way to e.g. send virus to break down network . ","By using the Internet we can make new pen friends overseas, and create clubs , and societies. Now a message can travel quicker and it is also worldwide . sending letters takes about a week to | Hong Kong from the U.K., but network , eg. e.g. E-mail . , is much faster. require Require the time The time required is only a few minutes. Now we can even create a club on Yahoo, which is free. Modern technology saves us a lot of time and brings us many benefits when we use it in the right way, but some bad way to e.g. send virus to break down network . "
RP,DJ,"Apart from national history, there are more contents about the history of the world. You can go to many sections such as the Asian Hall, Egyptian Hall, | Europe Hall and so on. The countless fascinating things will definitely take you the whole day to appreciate. After a visit to the British Museum, you will certainly be able to put your history textbook away! ","Apart from national history, there are more contents about the history of the world. You can go to many sections such as the Asian Hall, Egyptian Hall, | European Hall and so on. The countless fascinating things will definitely take you the whole day to appreciate. After a visit to the British Museum, you will certainly be able to put your history textbook away! "
DJ,CQ,"Another thing, plays and films. I saw only 2 plays and 3 films. For me it is too | little. One of the reasons that I have visited your arts festival was to see a lot of plays. In the future, I hope to be an actress and that's why I want to learn something from the professionals. I hope that next year I will. ","Another thing, plays and films. I saw only 2 plays and 3 films. For me it is too | few. One of the reasons that I have visited your arts festival was to see a lot of plays. In the future, I hope to be an actress and that's why I want to learn something from the professionals. I hope that next year I will. "
TV,FV,"However, something wrong occurred again. The actor 'Danny brook', whom you advertised in the brochure, did not play a part in the show. And I was really disappointed with the different actor's performance. He kept forgetting his lines. Finally, I went to the restaurant to have something for dinner after the show, but it was closed because it was | refurbishing . I am not satisfied with your show as it was completely different from the advertisement. ","However, something wrong occurred again. The actor 'Danny brook', whom you advertised in the brochure, did not play a part in the show. And I was really disappointed with the different actor's performance. He kept forgetting his lines. Finally, I went to the restaurant to have something for dinner after the show, but it was closed because it was | being refurbished . I am not satisfied with your show as it was completely different from the advertisement. "
FA,RP,"I would like to know if I need to take any clothes, and, if so, what kind of clothes? I also want to know if I should take any money, or if all the expenses are paid by | You. I am looking forward to your reply. ","I would like to know if I need to take any clothes, and, if so, what kind of clothes? I also want to know if I should take any money, or if all the expenses are paid by | you. I am looking forward to your reply. "
AGN,FN,"The other events I went to, dance shows, art exhibitions and | talk by writers, were well-organised and extremely interesting. ","The other events I went to, dance shows, art exhibitions and | talks by writers, were well-organised and extremely interesting. "
W,FV,"However, technology nowadays has improved so much and it has changed our lives a lot. Today we can't even think how we could possibly live without computers or without aeroplanes. The computer is our way of with | communicating with the outside world, whereas with aeroplanes we can reach our parents , and friends easily and much faster , than we would if we used boats or trains. Every day scientists and technologists discover and produce more and more new things and that is good , it . It has to be like that, we have to go forward not backward from the point where we are now. ","However, technology nowadays has improved so much and it has changed our lives a lot. Today we can't even think how we could possibly live without computers or without aeroplanes. The computer is our way of with | communicate communicating with the outside world , whereas with aeroplanes we can reach our parents , and friends easily and much faster , than we would if we used boats or trains. Every day scientists and technologists discover and produce more and more new things and that is good , it . It has to be like that, we have to go forward not backward from the point where we are now. "
RP,DN,"Coming back to ideas and Suggestions, I've promised to give you a free afternoon before you catch your plane. I would advise you to visit our zoo or to go for a picnic in a park before you go to the | night party. ","Coming back to ideas and Suggestions, I've promised to give you a free afternoon before you catch your plane. I would advise you to visit our zoo or to go for a picnic in a park before you go to the | party. "
IV,TV,"Danny Brook is my favourite actor &amp; to see him was my dream since my childhood! It was a surprise when we were told there would be another actor. Also, we expected to get a discount as students, but international students cards are not valid in your theatre (that is very strange - even your advertisement has information about discounts). Another problem - we were very hungry that evening because the show was | postpone for 45 minutes! So we were late for our supper in the hotel and the theatre restaurant was also closed without any reasons given. ","Danny Brook is my favourite actor &amp; to see him was my dream since my childhood! It was a surprise when we were told there would be another actor. Also, we expected to get a discount as students, but international students cards are not valid in your theatre (that is very strange - even your advertisement has information about discounts). Another problem - we were very hungry that evening because the show was | postponed for 45 minutes! So we were late for our supper in the hotel and the theatre restaurant was also closed without any reasons given. "
UC,UA,"Our engineering school is specialised in mechanics and thermodynamics. Needless to say, | that we must turn our attention to these fields. ","Our engineering school is specialised in mechanics and thermodynamics. Needless to say, | we must turn our attention to these fields. "
M,DY,Thank you | in advanced for your understanding and we look forward to hearing from you. ,Thank you | in advance for your understanding and we look forward to hearing from you. 
MP,RP,"The best dates for me to travel , would be in July because actually I work in the communications industry and I must ask my employer when I can take holidays. But I think it will be from the 7 July 2000 to the 21 July 2000. Regarding the accommodation at camp, I prefer the log cabins, because a few years go, I went camping with some friends and every night it rained and in the tent , it was impossible to sleep because the ground was so wet | so for this reason, I choose the log cabins. ","The best dates for me to travel , would be in July because actually I work in the communications industry and I must ask my employer when I can take holidays. But I think it will be from the 7 July 2000 to the 21 July 2000. Regarding the accommodation at camp, I prefer the log cabins, because a few years go, I went camping with some friends and every night it rained and in the tent , it was impossible to sleep because the ground was so wet | . So for this reason, I choose the log cabins. "
AGN,FN,"Secondly, in the advertisement it said that discounts were available but there was no discount on the tickets I bought. Furthermore, I had planned to have a great dinner with my family in your restaurant and it was closed because the people who work there were on | holidays. In addition to this, I have to tell you that it was the most horrible evening I have had and because of this I want to ask you if you could send me a refund for part of the money I wasted there. I would be grateful if you could do that. ","Secondly, in the advertisement it said that discounts were available but there was no discount on the tickets I bought. Furthermore, I had planned to have a great dinner with my family in your restaurant and it was closed because the people who work there were on | holiday. In addition to this, I have to tell you that it was the most horrible evening I have had and because of this I want to ask you if you could send me a refund for part of the money I wasted there. I would be grateful if you could do that. "
RD,RQ,"On the exam day everybody answered correctly to | each question. And after having corrected all of them, our teacher told us we had to repeat the exam because he realised we knew what the answers were. ","On the exam day everybody answered correctly to | every question. And after having corrected all of them, our teacher told us we had to repeat the exam because he realised we knew what the answers were. "
MA,MD,"I have received your letter, which makes me happy. For the first time in my life I have won a competition. I would like to take you up on your invitation in July. I am only able to take my holiday in July , | . The rest of the year I work. ","I have received your letter, which makes me happy. For the first time in my life I have won a competition. I would like to take you up on your invitation in July. I am only able to take my holiday in July , | the . The rest of the year I work. "
DJ,W,"After one hour the | hohle class had heard about Sarah's secret. Everybody was interested in what she had won but nobody wanted to ask Sarah because it was told as a secret to them. Sarah realized that everybody was nice and friendly to her but something was going on in the class, when she turned around talking and whispering started. Suddenly, she went to Pat and asked him, ""Did you tell anybody about our secret . ?"" Pat told her everything. Sarah looked at him for a while, then she stood in front of the class and explained to the others , that she had won a prize for 20 people to travel for 1 week to the coast of southern France and every one of the 19 pupils was invited, except Pat who wasn't very good at keeping secrets. ","After one hour the | whole class had heard about Sarah's secret. Everybody was interested in what she had won but nobody wanted to ask Sarah because it was told as a secret to them. Sarah realized that everybody was nice and friendly to her but something was going on in the class, when she turned around talking and whispering started. Suddenly, she went to Pat and asked him, ""Did you tell anybody about our secret . ?"" Pat told her everything. Sarah looked at him for a while, then she stood in front of the class and explained to the others , that she had won a prize for 20 people to travel for 1 week to the coast of southern France and every one of the 19 pupils was invited, except Pat who wasn't very good at keeping secrets. "
MD,RP,In my college have got a new student every Monday and very big college around heir. and we have got three buildings and we have got | alot of teachers the teachers have got experienced about teaching I think somebody come in my college you fried want to study in my college and you want tall anyone for your college you can't tell for something but you know yourself about college you know just you love it and very like it nobody dislike it somebody tall about class rooms it very big and comfortable . For study my college is really amazing. ,In my college have got a new student every Monday and very big college around heir. and we have got three buildings and we have got | a lot of teachers the teachers have got experienced about teaching I think somebody come in my college you fried want to study in my college and you want tall anyone for your college you can't tell for something but you know yourself about college you know just you love it and very like it nobody dislike it somebody tall about class rooms it very big and comfortable . For study my college is really amazing. 
RD,AGQ,I was very glad to receive this great news. I am very excited about it. I entered this competition because I have always wanted to do | these kind of thing. ,I was very glad to receive this great news. I am very excited about it. I entered this competition because I have always wanted to do | this kind of thing. 
UD,RP,"Shopping... a great and emotional statement, don't you think? | Every one thinks that shopping is the best way to get rid of your problems and, in fact a big solution to many problems or estrés , boring, or only for distraction. ","Shopping... a great and emotional statement, don't you think? | Everyone thinks that shopping is the best way to get rid of your problems and, in fact a big solution to many problems or estrés , boring, or only for distraction. "
DY,MV,"The most suitable time for me is July because in August I intend to go to the countryside, where I have a small farm. In September my school starts a new study year. So, because of that I can only | then. ","The most suitable time for me is July because in August I intend to go to the countryside, where I have a small farm. In September my school starts a new study year. So, because of that I can only | then. "
DJ,FY,"According to the advertisement, the show should have started at 19.30, but it didn't begin before 20.15. That's nearly an hour | later! The tickets were rather expensive, and the discounts mentioned in the advertisement weren't at all available at the theatre. They had never heard of such a thing! ","According to the advertisement, the show should have started at 19.30, but it didn't begin before 20.15. That's nearly an hour | late! The tickets were rather expensive, and the discounts mentioned in the advertisement weren't at all available at the theatre. They had never heard of such a thing! "
CN,FN,I am writing to reply to your letter about the | holidays at Camp California in the U.SA which is the first prize in the competition which I fortunately won last month. ,I am writing to reply to your letter about the | holiday at Camp California in the U.SA which is the first prize in the competition which I fortunately won last month. 
TV,DV,"Finally, on the last day you have three hours before you catch the plane so we | suggestion , you go to the shopping centre and buy something for your special person or go to the museum because this museum is the biggest in the world now. It is up to you. ","Finally, on the last day you have three hours before you catch the plane so we | suggest , you go to the shopping centre and buy something for your special person or go to the museum because this museum is the biggest in the world now. It is up to you. "
RD,FD,We have organized | a end-of-conference party on the day before your departure. Everyone is welcome to join in with this party in order to get to know each other in a good atmosphere. You should wear nice comfortable clothes. This is an informal party. ,We have organized | an end-of-conference party on the day before your departure. Everyone is welcome to join in with this party in order to get to know each other in a good atmosphere. You should wear nice comfortable clothes. This is an informal party. 
UP,DN,"I got up very early. All the city was sleeping. The weather was cold. When I arrived in front of the bank, my heart was going faster. A few days before, I had found a little window at the back of the building, so I entered in this way and by chance I just arrived in the | money's room vault . I hadn't ever seen so much money. I took it, the most of possible and went out the same way. I ran to my house and went back to my bed to sleep a little bit. ","I got up very early. All the city was sleeping. The weather was cold. When I arrived in front of the bank, my heart was going faster. A few days before, I had found a little window at the back of the building, so I entered in this way and by chance I just arrived in the | money room vault . I hadn't ever seen so much money. I took it, the most of possible and went out the same way. I ran to my house and went back to my bed to sleep a little bit. "
RP,MP,"I have a few questions that you might be able to answer . I don't know what type of clothes I have to take or the amount of money that I'm going to spend, so if you, please, could help me by giving me this information I would be very pleased. | Im looking forward to going to the camp and hearing from you soon ","I have a few questions that you might be able to answer . I don't know what type of clothes I have to take or the amount of money that I'm going to spend, so if you, please, could help me by giving me this information I would be very pleased. | I'm looking forward to going to the camp and hearing from you soon "
U,UP,"Although this situation might not be very difficult or important for anybody else, it is for this old man and I found it very exciting to follow this story until | it's quiet, sad end. ","Although this situation might not be very difficult or important for anybody else, it is for this old man and I found it very exciting to follow this story until | quiet, sad end. "
AGD,RD,"Poor Pat, he was so happy because a girl loved him and so nervous at the same time, even biting his nails. As I said at the beginning Pat wasn't very good at keeping secrets so he told us that he had a love letter but we couldn't read it. Three days later we sent him another letter, and Pat told us again but we said, ""Oh Pat, don't tell us that lie again"", so Pat got furious and showed us the letter. We laughed and explained to him that we were the ones who wrote | that letters, and made him promise that when he gets a secret lover, a real one, he won't tell anyone because if he does he won't meet her. ","Poor Pat, he was so happy because a girl loved him and so nervous at the same time, even biting his nails. As I said at the beginning Pat wasn't very good at keeping secrets so he told us that he had a love letter but we couldn't read it. Three days later we sent him another letter, and Pat told us again but we said, ""Oh Pat, don't tell us that lie again"", so Pat got furious and showed us the letter. We laughed and explained to him that we were the ones who wrote | the letters, and made him promise that when he gets a secret lover, a real one, he won't tell anyone because if he does he won't meet her. "
AGN,IN,"Well, first of all, I think it's quite difficult to be a musician, film star or a politician without being followed by journalists all the time. In my opinion, most of these people are aware of the consequences of fame, like not having a ""private life"" anymore. As soon as they are famous, they are surrounded by their fans and reporters in every place . I can imagine , how annoying it can be sometimes. Just imagine that you'd like to go shopping, clubbing or to a restaurant with friends. There's really no way to be together simply with your friends or relatives without being disturbed by the | paparazzis. ","Well, first of all, I think it's quite difficult to be a musician, film star or a politician without being followed by journalists all the time. In my opinion, most of these people are aware of the consequences of fame, like not having a ""private life"" anymore. As soon as they are famous, they are surrounded by their fans and reporters in every place . I can imagine , how annoying it can be sometimes. Just imagine that you'd like to go shopping, clubbing or to a restaurant with friends. There's really no way to be together simply with your friends or relatives without being disturbed by the | paparazzi. "
RD,FD,"First of all, you have to know that it wasn't | a ordinary pop concert, but a real open-air festival. This isn't the first year that I have worked there. However, this year wasn't like last year. ","First of all, you have to know that it wasn't | an ordinary pop concert, but a real open-air festival. This isn't the first year that I have worked there. However, this year wasn't like last year. "
