language,rule,category,subcategory,subsubcategory,error_count,file_count,tot_essays
French,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",5,5,1100
German,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",6,5,1100
Hindi,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",6,6,1100
Italian,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",7,7,1100
Japanese,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",21,21,1100
Korean,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",33,30,1100
Spanish,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",5,5,1100
Telugu,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",4,4,1100
Turkish,MANY_NN_U,Grammar,agreement,"quantifier + plural noun",15,15,1100
Arabic,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",7,5,1100
Chinese,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
French,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
German,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Hindi,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Italian,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Japanese,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Korean,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Spanish,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Telugu,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
Turkish,OUT_SIDE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Arabic,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",8,7,1100
Chinese,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",2,2,1100
French,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",2,2,1100
German,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",5,5,1100
Hindi,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",2,2,1100
Italian,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",3,3,1100
Japanese,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",4,4,1100
Korean,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",5,5,1100
Spanish,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",2,2,1100
Telugu,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",1,1,1100
Turkish,DT_JJ_NO_NOUN,Grammar,"missing noun","missing noun after adjective",1,1,1100
Arabic,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",2,2,1100
Chinese,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",1,1,1100
French,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",0,0,1100
German,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",0,0,1100
Hindi,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",0,0,1100
Italian,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",1,1,1100
Japanese,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",0,0,1100
Korean,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",0,0,1100
Spanish,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",0,0,1100
Telugu,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",2,2,1100
Turkish,POSSESSIVE_CASE,Grammar,"missing possessive marking","missing possessive marking",0,0,1100
Arabic,I_LIFE,Grammar,spelling,spelling,1,1,1100
Chinese,I_LIFE,Grammar,spelling,spelling,2,2,1100
French,I_LIFE,Grammar,spelling,spelling,0,0,1100
German,I_LIFE,Grammar,spelling,spelling,1,1,1100
Hindi,I_LIFE,Grammar,spelling,spelling,1,1,1100
Italian,I_LIFE,Grammar,spelling,spelling,0,0,1100
Japanese,I_LIFE,Grammar,spelling,spelling,0,0,1100
Korean,I_LIFE,Grammar,spelling,spelling,0,0,1100
Spanish,I_LIFE,Grammar,spelling,spelling,0,0,1100
Telugu,I_LIFE,Grammar,spelling,spelling,0,0,1100
Turkish,I_LIFE,Grammar,spelling,spelling,0,0,1100
Arabic,GO_TO_HOME,Collocations,NULL,NULL,2,2,1100
Chinese,GO_TO_HOME,Collocations,NULL,NULL,10,10,1100
French,GO_TO_HOME,Collocations,NULL,NULL,2,1,1100
German,GO_TO_HOME,Collocations,NULL,NULL,0,0,1100
Hindi,GO_TO_HOME,Collocations,NULL,NULL,0,0,1100
Italian,GO_TO_HOME,Collocations,NULL,NULL,1,1,1100
Japanese,GO_TO_HOME,Collocations,NULL,NULL,20,20,1100
Korean,GO_TO_HOME,Collocations,NULL,NULL,9,9,1100
Spanish,GO_TO_HOME,Collocations,NULL,NULL,2,2,1100
Telugu,GO_TO_HOME,Collocations,NULL,NULL,1,1,1100
Turkish,GO_TO_HOME,Collocations,NULL,NULL,7,4,1100
Arabic,TO_ON_A_TRIP,Collocations,NULL,NULL,0,0,1100
Chinese,TO_ON_A_TRIP,Collocations,NULL,NULL,1,1,1100
French,TO_ON_A_TRIP,Collocations,NULL,NULL,0,0,1100
German,TO_ON_A_TRIP,Collocations,NULL,NULL,0,0,1100
Hindi,TO_ON_A_TRIP,Collocations,NULL,NULL,0,0,1100
Italian,TO_ON_A_TRIP,Collocations,NULL,NULL,1,1,1100
Japanese,TO_ON_A_TRIP,Collocations,NULL,NULL,3,2,1100
Korean,TO_ON_A_TRIP,Collocations,NULL,NULL,1,1,1100
Spanish,TO_ON_A_TRIP,Collocations,NULL,NULL,0,0,1100
Telugu,TO_ON_A_TRIP,Collocations,NULL,NULL,0,0,1100
Turkish,TO_ON_A_TRIP,Collocations,NULL,NULL,0,0,1100
Arabic,THERE_WAS_MANY,Grammar,NULL,NULL,1,1,1100
Chinese,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
French,THERE_WAS_MANY,Grammar,NULL,NULL,1,1,1100
German,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
Hindi,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
Italian,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
Japanese,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
Korean,THERE_WAS_MANY,Grammar,NULL,NULL,3,3,1100
Spanish,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
Telugu,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
Turkish,THERE_WAS_MANY,Grammar,NULL,NULL,0,0,1100
Arabic,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Chinese,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
French,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
German,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Hindi,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Italian,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Japanese,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Korean,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Spanish,WORST_WORSE,Grammar,NULL,NULL,1,1,1100
Telugu,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Turkish,WORST_WORSE,Grammar,NULL,NULL,0,0,1100
Arabic,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,1,1,1100
Chinese,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,0,0,1100
French,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,0,0,1100
German,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,5,3,1100
Hindi,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,2,2,1100
Italian,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,3,3,1100
Japanese,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,1,1,1100
Korean,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,0,0,1100
Spanish,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,0,0,1100
Telugu,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,1,1,1100
Turkish,GOOD_IN_AT_GERUND,Collocations,NULL,NULL,0,0,1100
Arabic,WRONG_APOSTROPHE,Orthography,Typography,Typography,32,14,1100
Chinese,WRONG_APOSTROPHE,Orthography,Typography,Typography,6,3,1100
French,WRONG_APOSTROPHE,Orthography,Typography,Typography,111,39,1100
German,WRONG_APOSTROPHE,Orthography,Typography,Typography,128,39,1100
Hindi,WRONG_APOSTROPHE,Orthography,Typography,Typography,12,7,1100
Italian,WRONG_APOSTROPHE,Orthography,Typography,Typography,349,103,1100
Japanese,WRONG_APOSTROPHE,Orthography,Typography,Typography,24,10,1100
Korean,WRONG_APOSTROPHE,Orthography,Typography,Typography,17,9,1100
Spanish,WRONG_APOSTROPHE,Orthography,Typography,Typography,19,6,1100
Telugu,WRONG_APOSTROPHE,Orthography,Typography,Typography,6,6,1100
Turkish,WRONG_APOSTROPHE,Orthography,Typography,Typography,140,57,1100
Arabic,WHETHER,Style,"Redundant Phrases","Redundant Phrases",5,5,1100
Chinese,WHETHER,Style,"Redundant Phrases","Redundant Phrases",9,9,1100
French,WHETHER,Style,"Redundant Phrases","Redundant Phrases",6,6,1100
German,WHETHER,Style,"Redundant Phrases","Redundant Phrases",34,33,1100
Hindi,WHETHER,Style,"Redundant Phrases","Redundant Phrases",7,7,1100
Italian,WHETHER,Style,"Redundant Phrases","Redundant Phrases",4,4,1100
Japanese,WHETHER,Style,"Redundant Phrases","Redundant Phrases",6,5,1100
Korean,WHETHER,Style,"Redundant Phrases","Redundant Phrases",2,2,1100
Spanish,WHETHER,Style,"Redundant Phrases","Redundant Phrases",7,7,1100
Telugu,WHETHER,Style,"Redundant Phrases","Redundant Phrases",1,1,1100
Turkish,WHETHER,Style,"Redundant Phrases","Redundant Phrases",10,10,1100
Arabic,DEPENDENT,"Commonly Confused Words",NULL,NULL,1,1,1100
Chinese,DEPENDENT,"Commonly Confused Words",NULL,NULL,0,0,1100
French,DEPENDENT,"Commonly Confused Words",NULL,NULL,2,2,1100
German,DEPENDENT,"Commonly Confused Words",NULL,NULL,6,6,1100
Hindi,DEPENDENT,"Commonly Confused Words",NULL,NULL,1,1,1100
Italian,DEPENDENT,"Commonly Confused Words",NULL,NULL,0,0,1100
Japanese,DEPENDENT,"Commonly Confused Words",NULL,NULL,1,1,1100
Korean,DEPENDENT,"Commonly Confused Words",NULL,NULL,1,1,1100
Spanish,DEPENDENT,"Commonly Confused Words",NULL,NULL,1,1,1100
Telugu,DEPENDENT,"Commonly Confused Words",NULL,NULL,2,2,1100
Turkish,DEPENDENT,"Commonly Confused Words",NULL,NULL,1,1,1100
Arabic,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Chinese,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
French,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
German,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
Hindi,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Italian,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",3,3,1100
Japanese,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Korean,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Spanish,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",7,7,1100
Telugu,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Turkish,WERE_VBB,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Arabic,ALSO_SENT_END,Style,Stylistic,Stylistic,11,9,1100
Chinese,ALSO_SENT_END,Style,Stylistic,Stylistic,5,5,1100
French,ALSO_SENT_END,Style,Stylistic,Stylistic,2,2,1100
German,ALSO_SENT_END,Style,Stylistic,Stylistic,6,6,1100
Hindi,ALSO_SENT_END,Style,Stylistic,Stylistic,53,49,1100
Italian,ALSO_SENT_END,Style,Stylistic,Stylistic,1,1,1100
Japanese,ALSO_SENT_END,Style,Stylistic,Stylistic,7,6,1100
Korean,ALSO_SENT_END,Style,Stylistic,Stylistic,9,8,1100
Spanish,ALSO_SENT_END,Style,Stylistic,Stylistic,2,2,1100
Telugu,ALSO_SENT_END,Style,Stylistic,Stylistic,77,65,1100
Turkish,ALSO_SENT_END,Style,Stylistic,Stylistic,15,14,1100
Arabic,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Chinese,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
French,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
German,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Hindi,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Italian,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Japanese,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Korean,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Spanish,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Telugu,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Turkish,EXITED_EXCITED,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Arabic,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",5,5,1100
Chinese,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
French,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
German,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",10,8,1100
Hindi,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
Italian,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Japanese,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Korean,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Spanish,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",5,4,1100
Telugu,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",4,3,1100
Turkish,WORLD_WIDE,Orthography,"Possiple Typo","Possiple Typo",3,2,1100
Arabic,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,6,6,1100
Chinese,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,9,8,1100
French,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,2,2,1100
German,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,6,6,1100
Hindi,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,5,5,1100
Italian,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,12,11,1100
Japanese,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,5,5,1100
Korean,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,7,7,1100
Spanish,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,9,9,1100
Telugu,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,5,5,1100
Turkish,TWO_CONNECTED_MODAL_VERBS,Grammar,NULL,NULL,0,0,1100
Arabic,ACCOMPANY_WITH,Collocations,NULL,NULL,3,3,1100
Chinese,ACCOMPANY_WITH,Collocations,NULL,NULL,3,3,1100
French,ACCOMPANY_WITH,Collocations,NULL,NULL,1,1,1100
German,ACCOMPANY_WITH,Collocations,NULL,NULL,0,0,1100
Hindi,ACCOMPANY_WITH,Collocations,NULL,NULL,5,5,1100
Italian,ACCOMPANY_WITH,Collocations,NULL,NULL,0,0,1100
Japanese,ACCOMPANY_WITH,Collocations,NULL,NULL,3,3,1100
Korean,ACCOMPANY_WITH,Collocations,NULL,NULL,1,1,1100
Spanish,ACCOMPANY_WITH,Collocations,NULL,NULL,1,1,1100
Telugu,ACCOMPANY_WITH,Collocations,NULL,NULL,2,2,1100
Turkish,ACCOMPANY_WITH,Collocations,NULL,NULL,1,1,1100
Arabic,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Chinese,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
French,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
German,DISAPPOINTED_OF,Collocations,NULL,NULL,1,1,1100
Hindi,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Italian,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Japanese,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Korean,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Spanish,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Telugu,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Turkish,DISAPPOINTED_OF,Collocations,NULL,NULL,0,0,1100
Arabic,SOME_NN_VBP,Grammar,agreement,"nominal agreement",11,10,1100
Chinese,SOME_NN_VBP,Grammar,agreement,"nominal agreement",13,12,1100
French,SOME_NN_VBP,Grammar,agreement,"nominal agreement",10,10,1100
German,SOME_NN_VBP,Grammar,agreement,"nominal agreement",5,5,1100
Hindi,SOME_NN_VBP,Grammar,agreement,"nominal agreement",7,7,1100
Italian,SOME_NN_VBP,Grammar,agreement,"nominal agreement",5,5,1100
Japanese,SOME_NN_VBP,Grammar,agreement,"nominal agreement",9,8,1100
Korean,SOME_NN_VBP,Grammar,agreement,"nominal agreement",10,10,1100
Spanish,SOME_NN_VBP,Grammar,agreement,"nominal agreement",1,1,1100
Telugu,SOME_NN_VBP,Grammar,agreement,"nominal agreement",5,5,1100
Turkish,SOME_NN_VBP,Grammar,agreement,"nominal agreement",7,7,1100
Arabic,CAPITALIZATION,Style,Stylistic,Stylistic,1,1,1100
Chinese,CAPITALIZATION,Style,Stylistic,Stylistic,2,2,1100
French,CAPITALIZATION,Style,Stylistic,Stylistic,3,3,1100
German,CAPITALIZATION,Style,Stylistic,Stylistic,1,1,1100
Hindi,CAPITALIZATION,Style,Stylistic,Stylistic,0,0,1100
Italian,CAPITALIZATION,Style,Stylistic,Stylistic,3,2,1100
Japanese,CAPITALIZATION,Style,Stylistic,Stylistic,0,0,1100
Korean,CAPITALIZATION,Style,Stylistic,Stylistic,4,4,1100
Spanish,CAPITALIZATION,Style,Stylistic,Stylistic,2,2,1100
Telugu,CAPITALIZATION,Style,Stylistic,Stylistic,0,0,1100
Turkish,CAPITALIZATION,Style,Stylistic,Stylistic,4,3,1100
Arabic,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",6,5,1100
Chinese,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",6,6,1100
French,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",4,3,1100
German,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
Hindi,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",11,11,1100
Italian,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",4,3,1100
Japanese,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",14,10,1100
Korean,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",10,7,1100
Spanish,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Telugu,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",11,11,1100
Turkish,LIFE_TIME,Orthography,"Possiple Typo","Possiple Typo",11,11,1100
Arabic,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,10,7,1100
Chinese,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,2,2,1100
French,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,32,22,1100
German,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,17,14,1100
Hindi,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,37,28,1100
Italian,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,12,11,1100
Japanese,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,0,0,1100
Korean,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,3,3,1100
Spanish,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,1,1,1100
Telugu,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,50,19,1100
Turkish,EN_WORD_COHERENCY,Miscellaneous,NULL,NULL,12,9,1100
Arabic,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,3,3,1100
Chinese,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,12,11,1100
French,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,1,1,1100
German,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,0,0,1100
Hindi,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,3,3,1100
Italian,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,3,3,1100
Japanese,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,4,4,1100
Korean,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,7,7,1100
Spanish,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,4,4,1100
Telugu,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,11,10,1100
Turkish,PRP_PAST_PART,Grammar,"missing auxiliary ",'have‘,3,3,1100
Arabic,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",21,19,1100
Chinese,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
French,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",6,6,1100
German,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Hindi,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
Italian,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Japanese,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Korean,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",3,3,1100
Spanish,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",7,7,1100
Telugu,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",8,7,1100
Turkish,EVERY_WHERE,Orthography,"Possiple Typo","Possiple Typo",2,1,1100
Arabic,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",19,17,1100
Chinese,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
French,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
German,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Hindi,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",4,3,1100
Italian,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",0,0,1100
Japanese,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",3,3,1100
Korean,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",6,4,1100
Spanish,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
Telugu,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",5,4,1100
Turkish,THEM_SELVES,Orthography,"Possiple Typo","Possiple Typo",2,2,1100
Arabic,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,1,1,1100
Chinese,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,4,3,1100
French,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,0,0,1100
German,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,1,1,1100
Hindi,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,0,0,1100
Italian,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,1,1,1100
Japanese,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,0,0,1100
Korean,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,0,0,1100
Spanish,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,3,3,1100
Telugu,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,0,0,1100
Turkish,BELIEVE_BELIEF,"Commonly Confused Words",NULL,NULL,0,0,1100
Arabic,KNOW_NOW,"Commonly Confused Words",NULL,NULL,4,4,1100
Chinese,KNOW_NOW,"Commonly Confused Words",NULL,NULL,2,2,1100
French,KNOW_NOW,"Commonly Confused Words",NULL,NULL,3,2,1100
German,KNOW_NOW,"Commonly Confused Words",NULL,NULL,2,2,1100
Hindi,KNOW_NOW,"Commonly Confused Words",NULL,NULL,0,0,1100
Italian,KNOW_NOW,"Commonly Confused Words",NULL,NULL,3,3,1100
Japanese,KNOW_NOW,"Commonly Confused Words",NULL,NULL,3,3,1100
Korean,KNOW_NOW,"Commonly Confused Words",NULL,NULL,2,2,1100
Spanish,KNOW_NOW,"Commonly Confused Words",NULL,NULL,4,4,1100
Telugu,KNOW_NOW,"Commonly Confused Words",NULL,NULL,0,0,1100
Turkish,KNOW_NOW,"Commonly Confused Words",NULL,NULL,6,5,1100
Arabic,TO_TOO,"Commonly Confused Words",NULL,NULL,9,9,1100
Chinese,TO_TOO,"Commonly Confused Words",NULL,NULL,11,10,1100
French,TO_TOO,"Commonly Confused Words",NULL,NULL,8,8,1100
German,TO_TOO,"Commonly Confused Words",NULL,NULL,21,20,1100
Hindi,TO_TOO,"Commonly Confused Words",NULL,NULL,10,10,1100
Italian,TO_TOO,"Commonly Confused Words",NULL,NULL,10,10,1100
Japanese,TO_TOO,"Commonly Confused Words",NULL,NULL,5,4,1100
Korean,TO_TOO,"Commonly Confused Words",NULL,NULL,2,2,1100
Spanish,TO_TOO,"Commonly Confused Words",NULL,NULL,17,17,1100
Telugu,TO_TOO,"Commonly Confused Words",NULL,NULL,6,6,1100
Turkish,TO_TOO,"Commonly Confused Words",NULL,NULL,12,12,1100
Arabic,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,10,8,1100
Chinese,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,4,4,1100
French,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,22,19,1100
German,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,27,24,1100
Hindi,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,19,17,1100
Italian,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,13,9,1100
Japanese,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,12,10,1100
Korean,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,4,3,1100
Spanish,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,18,15,1100
Telugu,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,17,17,1100
Turkish,LOOSE_LOSE,"Commonly Confused Words",NULL,NULL,27,22,1100
Arabic,YOUR,"Commonly Confused Words",NULL,NULL,9,9,1100
Chinese,YOUR,"Commonly Confused Words",NULL,NULL,1,1,1100
French,YOUR,"Commonly Confused Words",NULL,NULL,3,3,1100
German,YOUR,"Commonly Confused Words",NULL,NULL,0,0,1100
Hindi,YOUR,"Commonly Confused Words",NULL,NULL,3,3,1100
Italian,YOUR,"Commonly Confused Words",NULL,NULL,0,0,1100
Japanese,YOUR,"Commonly Confused Words",NULL,NULL,2,1,1100
Korean,YOUR,"Commonly Confused Words",NULL,NULL,2,2,1100
Spanish,YOUR,"Commonly Confused Words",NULL,NULL,4,3,1100
Telugu,YOUR,"Commonly Confused Words",NULL,NULL,1,1,1100
Turkish,YOUR,"Commonly Confused Words",NULL,NULL,1,1,1100
